prop_ids,urls,cities,lines,postal_codes,counties,lats,lons,prices,baths_fulls,bedrooms,building_sizes,lot_sizes
M7927081518,https://www.realtor.com/realestateandhomes-detail/79-Cretin-Ave-N_Saint-Paul_MN_55104_M79270-81518,Saint Paul,79 Cretin Ave N,55104,Ramsey,44.944009,-93.192846,600000,2,4,3143,14375
M8412373846,https://www.realtor.com/realestateandhomes-detail/1716-Tyler-St-NE_Minneapolis_MN_55413_M84123-73846,Minneapolis,1716 Tyler St NE,55413,Hennepin,45.005543,-93.246466,475000,3,5,2448,8276
M7324092858,https://www.realtor.com/realestateandhomes-detail/2094-Quartz-Ln_Eagan_MN_55122_M73240-92858,Eagan,2094 Quartz Ln,55122,Dakota,44.800149,-93.214939,324900,2,4,1620,9017
M8405448159,https://www.realtor.com/realestateandhomes-detail/3628-Regent-Ave-N_Robbinsdale_MN_55422_M84054-48159,Robbinsdale,3628 Regent Ave N,55422,Hennepin,45.021414,-93.343719,314999,2,4,2255,5227
M8627783588,https://www.realtor.com/realestateandhomes-detail/2732-Joppa-Ave-S_St-Louis-Park_MN_55416_M86277-83588,Saint Louis Park,2732 Joppa Ave S,55416,Hennepin,44.953099,-93.334462,649900,3,3,2571,6098
M7672085349,https://www.realtor.com/realestateandhomes-detail/3321-20th-Ave-S_Minneapolis_MN_55407_M76720-85349,Minneapolis,3321 20th Ave S,55407,Hennepin,44.942098,-93.243236,339000,2,4,1762,6098
M8829509730,https://www.realtor.com/realestateandhomes-detail/5816-Ashcroft-Ave_Edina_MN_55424_M88295-09730,Edina,5816 Ashcroft Ave,55424,Hennepin,44.897395,-93.343353,425000,2,2,1988,6970
M8418438748,https://www.realtor.com/realestateandhomes-detail/4749-Clear-Spring-Rd_Minnetonka_MN_55345_M84184-38748,Minnetonka,4749 Clear Spring Rd,55345,Hennepin,44.916854,-93.49191,479900,4,4,2686,22651
M8761474897,https://www.realtor.com/realestateandhomes-detail/7100-Glenwood-Ave_Golden-Valley_MN_55427_M87614-74897,Golden Valley,7100 Glenwood Ave,55427,Hennepin,44.9838,-93.370209,349900,2,4,1871,18731
M7380359173,https://www.realtor.com/realestateandhomes-detail/1880-Berkeley-Ave_Saint-Paul_MN_55105_M73803-59173,Saint Paul,1880 Berkeley Ave,55105,Ramsey,44.933138,-93.180053,339900,2,3,,5097
M8713023394,https://www.realtor.com/realestateandhomes-detail/2182-Maple-Ln-E_Maplewood_MN_55109_M87130-23394,Maplewood,2182 Maple Ln E,55109,Ramsey,45.028738,-93.008369,319900,,4,1949,10019
M8992476325,https://www.realtor.com/realestateandhomes-detail/5710-Nicollet-Ave_Minneapolis_MN_55419_M89924-76325,Minneapolis,5710-5712 Nicollet Ave,55419,Hennepin,44.899123,-93.278471,369900,2,3,2213,6098
M8851218287,https://www.realtor.com/realestateandhomes-detail/4953-Columbus-Ave_Minneapolis_MN_55417_M88512-18287,Minneapolis,4953 Columbus Ave,55417,Hennepin,44.912745,-93.263588,499995,2,3,2168,5227
M8114391518,https://www.realtor.com/realestateandhomes-detail/1282-Dayton-Ave_Saint-Paul_MN_55104_M81143-91518,Saint Paul,1282 Dayton Ave,55104,Ramsey,44.947215,-93.154499,550000,2,4,3049,7144
M7833566044,https://www.realtor.com/realestateandhomes-detail/6044-Washburn-Ave-S_Minneapolis_MN_55410_M78335-66044,Minneapolis,6044 Washburn Ave S,55410,Hennepin,44.89274,-93.317919,389900,3,4,,6534
M7836124799,https://www.realtor.com/realestateandhomes-detail/2612-W-88th-St_Minneapolis_MN_55431_M78361-24799,Bloomington,2612 W 88th St,55431,Hennepin,44.844641,-93.313271,339000,2,3,1718,14810
M7134544273,https://www.realtor.com/realestateandhomes-detail/4900-Dona-Ln_Golden-Valley_MN_55422_M71345-44273,Golden Valley,4900 Dona Ln,55422,Hennepin,45.008331,-93.341484,399900,2,4,1720,11761
M7704229440,https://www.realtor.com/realestateandhomes-detail/4817-Folwell-Dr_Minneapolis_MN_55406_M77042-29440,Minneapolis,4817 Folwell Dr,55406,Hennepin,44.930479,-93.2039,569900,3,5,2450,6098
M7023131700,https://www.realtor.com/realestateandhomes-detail/1277-Minnehaha-Ave-W_Saint-Paul_MN_55104_M70231-31700,Saint Paul,1277 Minnehaha Ave W,55104,Ramsey,44.963226,-93.154085,400000,,3,2011,5663
M8967006536,https://www.realtor.com/realestateandhomes-detail/3373-Texas-Ave-S_St-Louis-Park_MN_55426_M89670-06536,Saint Louis Park,3373 Texas Ave S,55426,Hennepin,44.942685,-93.3805,350000,2,3,1575,6970
M8037120326,https://www.realtor.com/realestateandhomes-detail/5124-Luverne-Ave_Minneapolis_MN_55419_M80371-20326,Minneapolis,5124 Luverne Ave,55419,Hennepin,44.909862,-93.269399,530000,2,4,2303,5663
M7165175655,https://www.realtor.com/realestateandhomes-detail/5125-43rd-Ave-S_Minneapolis_MN_55417_M71651-75655,Minneapolis,5125 43rd Ave S,55417,Hennepin,44.909847,-93.211012,325000,2,2,1144,6534
M8935601496,https://www.realtor.com/realestateandhomes-detail/1704-Oakwood-Dr_Shoreview_MN_55126_M89356-01496,Shoreview,1704 Oakwood Dr,55126,Ramsey,45.110196,-93.173516,300000,2,3,2062,10019
M8950849045,https://www.realtor.com/realestateandhomes-detail/2016-W-90th-St_Bloomington_MN_55431_M89508-49045,Bloomington,2016 W 90th St,55431,Hennepin,44.840963,-93.304869,349900,2,4,1638,12632
M8310539324,https://www.realtor.com/realestateandhomes-detail/3716-Columbus-Ave_Minneapolis_MN_55407_M83105-39324,Minneapolis,3716 Columbus Ave,55407,Hennepin,44.93531,-93.264111,339900,2,3,1553,4356
M8772269945,https://www.realtor.com/realestateandhomes-detail/6525-Polar-Cir_Edina_MN_55436_M87722-69945,Edina,6525 Polar Cir,55436,Hennepin,44.89343,-93.388857,725000,3,5,2871,12632
M7228194626,https://www.realtor.com/realestateandhomes-detail/250-Park-Ave-Unit-315_Minneapolis_MN_55415_M72281-94626,Minneapolis,250 Park Ave Unit 315,55415,Hennepin,44.977175,-93.259623,459000,2,2,1400,27704
M8503110118,https://www.realtor.com/realestateandhomes-detail/2337-Nottingham-Ct_Minnetonka_MN_55305_M85031-10118,Minnetonka,2337 Nottingham Ct,55305,Hennepin,44.959112,-93.423267,650000,2,3,2345,28750
M7295498325,https://www.realtor.com/realestateandhomes-detail/1777-Lincoln-Ave_Saint-Paul_MN_55105_M72954-98325,Saint Paul,1777 Lincoln Ave,55105,Ramsey,44.939314,-93.175447,675000,3,4,2344,6403
M8098273035,https://www.realtor.com/realestateandhomes-detail/8451-Chicago-Ave-S_Bloomington_MN_55420_M80982-73035,Bloomington,8451 Chicago Ave S,55420,Hennepin,44.849773,-93.262784,330000,2,,1402,10019
M7168331888,https://www.realtor.com/realestateandhomes-detail/5704-44th-Ave-S_Minneapolis_MN_55417_M71683-31888,Minneapolis,5704 44th Ave S,55417,Hennepin,44.899702,-93.210566,335000,3,3,1535,5227
M7484810535,https://www.realtor.com/realestateandhomes-detail/4457-18th-Ave-S_Minneapolis_MN_55407_M74848-10535,Minneapolis,4457 18th Ave S,55407,Hennepin,44.921716,-93.248231,475000,,3,2488,10019
M7313868508,https://www.realtor.com/realestateandhomes-detail/17491-Kilmer-Ave_Eden-Prairie_MN_55346_M73138-68508,Eden Prairie,17491 Kilmer Ave,55346,Hennepin,44.864606,-93.499287,520000,4,4,2900,22216
M8455653423,https://www.realtor.com/realestateandhomes-detail/7501-Pillsbury-Ave-S_Richfield_MN_55423_M84556-53423,Richfield,7501 Pillsbury Ave S,55423,Hennepin,44.867116,-93.281675,375000,2,3,1640,10019
M7561612494,https://www.realtor.com/realestateandhomes-detail/2816-Maryland-Ave-S_St-Louis-Park_MN_55426_M75616-12494,Saint Louis Park,2816 Maryland Ave S,55426,Hennepin,44.952273,-93.3725,424900,2,3,1776,7841
M8401218031,https://www.realtor.com/realestateandhomes-detail/84-Malcolm-Ave-SE_Minneapolis_MN_55414_M84012-18031,Minneapolis,84 Malcolm Ave SE,55414,Hennepin,44.968738,-93.215269,525000,3,3,2300,3920
M8600181600,https://www.realtor.com/realestateandhomes-detail/440-Betty-Ln_Saint-Paul_MN_55118_M86001-81600,West Saint Paul,440 Betty Ln,55118,Dakota,44.900357,-93.10354,370000,3,3,2108,12153
M8438027151,https://www.realtor.com/realestateandhomes-detail/1843-Highland-Pkwy_Saint-Paul_MN_55116_M84380-27151,Saint Paul,1843 Highland Pkwy,55116,Ramsey,44.920054,-93.178291,565000,,3,2645,5184
M8079777052,https://www.realtor.com/realestateandhomes-detail/6420-Knox-Ave-S_Richfield_MN_55423_M80797-77052,Richfield,6420 Knox Ave S,55423,Hennepin,44.886272,-93.302657,369900,2,,1942,8276
M8293726606,https://www.realtor.com/realestateandhomes-detail/2065-68th-St-E_Inver-Grove-Heights_MN_55077_M82937-26606,Inver Grove Heights,2065 68th St E,55077,Dakota,44.851767,-93.06386,339900,2,4,2092,18513
M7426634211,https://www.realtor.com/realestateandhomes-detail/14801-Hillside-Ln_Burnsville_MN_55306_M74266-34211,Burnsville,14801 Hillside Ln,55306,Dakota,44.735185,-93.295971,349000,2,3,2008,21867
M8403141339,https://www.realtor.com/realestateandhomes-detail/5912-Columbus-Ave_Minneapolis_MN_55417_M84031-41339,Minneapolis,5912 Columbus Ave,55417,Hennepin,44.895542,-93.264433,424900,2,3,2123,6970
M7426566313,https://www.realtor.com/realestateandhomes-detail/2236-Princeton-Ave_Saint-Paul_MN_55105_M74265-66313,Saint Paul,2236 Princeton Ave,55105,Ramsey,44.93586,-93.195058,649000,4,4,2221,6098
